,job_title,common_job_title, Job_Family
1594,softwarae engineer,software engineer, Software/Application Developer
1597,oracle software engineer,software engineer, Software/Application Developer
1600,software engineering full time,software engineer, Software/Application Developer
1603,programmer analyst trainee,programmer analyst, Software/Application Developer
1605,application developer developer,application developer, Software/Application Developer
1606,associate oracle sql developer,associate developer, Software/Application Developer
1607,programmer analyst trainee pat,programmer analyst, Software/Application Developer
1609,woking programmer analyst,programmer analyst, Software/Application Developer
1611,etl application developer,application developer, Software/Application Developer
1612,programmer full time,programmer, Software/Application Developer
1613,programmer analyst role,programmer analyst, Software/Application Developer
1615,programmer analysts trainee,programmer analyst, Software/Application Developer
1617,programmer analyst crm,programmer analyst, Software/Application Developer
1619,programmer analyst role team,programmer analyst, Software/Application Developer
1621,programmer analayst,programmer analyst, Software/Application Developer
1623,application developer pat,application developer, Software/Application Developer
1624,programmer analyst sme,programmer analyst, Software/Application Developer
1626,associate etl developer,associate developer, Software/Application Developer
1627,citrix technology analyst,technology analyst, Computer Network Specialist
1628,programmer analyst sharepoint,programmer analyst, Software/Application Developer
1630,liferay java developer,java developer, Software/Application Developer
1631,software engineer leader,software engineer, Software/Application Developer
1634,programmer analyst metlife,programmer analyst, Software/Application Developer
1636,india programmer,programmer, Software/Application Developer
1637,associate sql etl developer,associate developer, Software/Application Developer
1638,software engineer cts,software engineer, Software/Application Developer
1641,programmer analyst cts,programmer analyst, Software/Application Developer
1643,programmer analyst gis,programmer analyst, Software/Application Developer
1645,programmer ananlyst,programmer analyst, Software/Application Developer
1647,programmer analyst trainee programmer analyst,programmer analyst, Software/Application Developer
1649,proggrammer analyst,programmer analyst, Software/Application Developer
1651,adm java developer,java developer, Software/Application Developer
1652,mobile web developer,web developer, Web Developer
1654,programmer analyst sap,programmer analyst, Software/Application Developer
1656,programmeur analyst,programmer analyst, Software/Application Developer
1658,network engineer lan mgmt,network engineer, Computer Network Specialist
1660,network engineer kelley barracks,network engineer, Computer Network Specialist
1662,software test engineer software engineer,software engineer, Software/Application Developer
1665,gdit network engineer,network engineer, Computer Network Specialist
1667,network administrator voip,network administrator, Computer Network Specialist
1668,time systems administrator,systems administrator, Computer Support Specialist
1669,seior help desk technician,help desk technician, Computer Support Specialist
1670,inbound customer support specialist,customer support specialist, Computer Support Specialist
1671,systems administrator mc4,systems administrator, Computer Support Specialist
1672,system administrator gdit,system administrator, Computer Support Specialist
1673,systems analyst sme,systems analyst, Information Technology Analyst
1674,network administrator gboss,network administrator, Computer Network Specialist
1675,navy erp help desk specialist,help desk specialist, Computer Support Specialist
1676,lan support specialist,support specialist, Computer Support Specialist
1678,windows installer help desk technician,help desk technician, Computer Support Specialist
1679,network voip engineer,network engineer, Computer Network Specialist
1681,member information security,information security, Information Security Specialist
1682,software upgrade engineer,software engineer, Software/Application Developer
1685,tier3 technical support engineer,technical support engineer, Computer Support Specialist
1686,radio system analyst,system analyst, Information Technology Analyst
1687,linux application support analyst,application support analyst, Information Technology Analyst
1688,exchange systems administrator,systems administrator, Computer Support Specialist
1689,director technology leader,director technology, Information Technology Leadership
1690,team software architect,software architect, Software/Application Developer
1691,plsql programmer,programmer, Software/Application Developer
1692,programmer analyst fsi,programmer analyst, Software/Application Developer
1694,software engineer mfc sql,software engineer, Software/Application Developer
1697,boeing systems analyst,systems analyst, Information Technology Analyst
1698,application developer cogen,application developer, Software/Application Developer
1699,oracle fusion hcm cloud consultant,cloud consultant, Cloud Computing Engineer
1700,prof system administrator,system administrator, Computer Support Specialist
1701,technology manager various roles,technology manager, Information Technology Leadership
1702,programmer analyst leader,programmer analyst, Software/Application Developer
1704,software developer full stack,software developer, Software/Application Developer
1705,india specialist support specialist,support specialist, Computer Support Specialist
1707,full time kindle support specialist,support specialist, Computer Support Specialist
1709,software engineer lab126,software engineer, Software/Application Developer
1712,kindle technology support specialist where,technology support specialist, Computer Support Specialist
1713,global technology support specialist,technology support specialist, Computer Support Specialist
1714,software developer domex,software developer, Software/Application Developer
1715,software developer deams,software developer, Software/Application Developer
1716,caci systems administrator,systems administrator, Computer Support Specialist
1717,nexgen technology systems administrator,technology systems administrator, Computer Support Specialist
1718,hsdw database administrator,database administrator, Database Administrator
1720,itfo systems administrator,systems administrator, Computer Support Specialist
1721,technology manager latam,technology manager, Information Technology Leadership
1722,software developer staff,software developer, Software/Application Developer
1723,staff application developer,application developer, Software/Application Developer
1724,smnetwork architect,network architect, Computer Network Specialist
1726,software engineerr,software engineer, Software/Application Developer
1729,software developer banking domain,software developer, Software/Application Developer
1730,avp atm network engineer,network engineer, Computer Network Specialist
1732,web developer fullstack,web developer, Web Developer
1734,messaging system administrator,system administrator, Computer Support Specialist
1735,software erngineer,software engineer, Software/Application Developer
1738,programmer analyst mtsb,programmer analyst, Software/Application Developer
1740,information security leader,information security, Information Security Specialist
1741,oracle mongo database administrator,database administrator, Database Administrator
1743,filenet developer,net developer, Software/Application Developer
1744,ibm 400 system administrator,system administrator, Computer Support Specialist
1745,c4i systems analyst,systems analyst, Information Technology Analyst
1746,systems sas administrator,systems administrator, Computer Support Specialist
1747,systems analyst leader,systems analyst, Information Technology Analyst
1748,information security engg,information security, Information Security Specialist
1749,technology analyst workday hcm,technology analyst, Computer Network Specialist
1750,programmer analyst t24,programmer analyst, Software/Application Developer
1752,systems analyst highlights,systems analyst, Information Technology Analyst
1753,online technical support specialist,technical support specialist, Computer Support Specialist
1754,network administrator lan wan,network administrator, Computer Network Specialist
1755,xerox systems analyst,systems analyst, Information Technology Analyst
1756,ios technical support engineer,technical support engineer, Computer Support Specialist
1757,billing specialist technical support,technical support specialist, Computer Support Specialist
1758,scheduling support specialist,support specialist, Computer Support Specialist
1760,valo technology coordinator,technology coordinator, Computer Network Specialist
1761,igen3 system analyst,system analyst, Information Technology Analyst
1762,system analyst sme,system analyst, Information Technology Analyst
1763,itunes customer support specialist,customer support specialist, Computer Support Specialist
1764,mvs programmer,programmer, Software/Application Developer
1765,sprint technical support specialist,technical support specialist, Computer Support Specialist
1766,tem analyst,system analyst, Information Technology Analyst
1767,android technical support specialist,technical support specialist, Computer Support Specialist
1768,sprint technology support specialist,technology support specialist, Computer Support Specialist
1769,android support specialist,support specialist, Computer Support Specialist
1771,technical specialist ops,technical specialist, Computer Support Specialist
